2,KPN-2-1-1,1,NULL,2,NULL,DERGA,PERSATUAN UGAMA KUNG MERN (KUNG MERN SERN TAU YEN) NEGERI KEDAH,"No. 53-M, TAMAN AMBAR, JALAN TELOK WANJAH",NULL,NULL,0,NULL,8000 KP,135980422,kungmernkedah@gmail.com,0001-11-30,PPM-011-02-17031987,TIADA,1,4,0,0,1,1,NULL,14,NULL,PERSENDIRIAN,0000-00-00 00:00:00,0000-00-00 00:00:00
3,KPN-2-1-2,1,NULL,2,5, KOTA SIPUTEH,JAWATANKUASA PENGURUS TANAH PERKUBURAN KWANTUNG KODIANG KEDAH,NO 15 JLN KANGAR KODIANG KEDAH,,,0,555,,124021020,khorahkew@yahoo.com.my,0000-00-00,PPM-011-02-14011988,,1,5,0,0,1,0,,5,0,,0000-00-00 00:00:00,0000-00-00 00:00:00
4,KPN-2-1-3,1,NULL,2,18,MP,"JAWATANKUASA TADBIR KUIL SRI SUBRAMANIAR,  SERDANG KEDAH DARULAMAN","KUIL SRI SUBRAMANIAR,JALAN RAYA",,,0,555,,013-5127703,yugeshsree@gmail.com,0000-00-00,PPM-003-02-11111976,,1,4,0,0,1,0,,3,0,PERSENDIRIAN,0000-00-00 00:00:00,0000-00-00 00:00:00
5,KPN-2-1-4,1,NULL,2,5, KOTA SIPUTEH,KEDAH/PERLIS CHENG LEONG KONG TEMPLE,CHENG LEONG KONG TEMPLE KUALA SANGLANG KUBANG PASU KEDAH,,,0,555,,012-6497322,chungchaoheng@gmail.com,0000-00-00,PPM-003-02-14041977,,1,5,0,0,1,0,,5,0,,0000-00-00 00:00:00,0000-00-00 00:00:00
6,KPN-2-1-5,1,NULL,2,18,MP,PERSATUAN BUDDHIST SERDANG KEDAH,"NO. 317 JALAN TENGAH, 09800 SERDANG, KEDAH.",,,0,555,,012-4507103,mintfortros@hotmail.com,0000-00-00,PPM-015-02-20051987,,1,4,0,0,1,0,,3,0,PERSENDIRIAN,0000-00-00 00:00:00,0000-00-00 00:00:00
7,KPN-2-1-6,1,NULL,2,6,JITRA,PERSATUAN BUDDISH KODIANG KEDAH DARUL AMAN,"118-D TAMAN HOSANA,\\\
JALAN CHANGLOON,",,,0,555,,012-4068866,puahcheehau1976@gmail.com,0000-00-00,PPM-001-02-12011995,,1,5,0,0,1,0,,5,0,,0000-00-00 00:00:00,0000-00-00 00:00:00
8,KPN-2-1-7,1,NULL,2,6,  ,"PERSATUAN PENGANUT AGAMA BUDDHA WAT CHITRARAM, JITRA, KEDAH","KAMPONG SUNGAI BARU, JITRA",,,0,555,,013-4720439,cheahkahleng@gmail.com,0000-00-00,PPM-013-02-25082015,,1,5,0,0,1,0,,5,0,,0000-00-00 00:00:00,0000-00-00 00:00:00
9,KPN-2-1-8,1,NULL,2,18,Kulim,PERSATUAN PENGANUT AJARAN CI SHAN GE SELAMA KEDAH,"NO. 127, JALAN CEMPAKA SATU, TAMAN CEMPAKA",,,0,555,,012-5957987,waykiang3368@gmail.com,0000-00-00,PPM-023-02-02092000,,1,4,0,0,1,0,,3,0,PERSENDIRIAN,0000-00-00 00:00:00,0000-00-00 00:00:00
10,KPN-2-1-9,1,NULL,2,18,MP,"PERSATUAN PENGANUT AJARAN GUANG FU GONG, SERDANG, KEDAH","NO. 327, KAMPONG EE GUAN",,,0,555,,016-7363305,Boonphing05@gmail.com,0000-00-00,PPM-001-02-23092006,,1,4,0,0,1,0,,3,0,PERSENDIRIAN,0000-00-00 00:00:00,0000-00-00 00:00:00
11,KPN-2-1-10,1,NULL,2,12, GURUN,"PERSATUAN PENGANUT BUDDHA PHONSOK CHOLING KUALA MUDA/YAN, KEDAH","NO.29 PERSIARAN JERAI INDAH, TAMAN INDAH JERAI 2",,,0,555,1700,012-4756779,chern176@yahoo.co.uk,0000-00-00,PPM-001-02-18092012,,1,4,0,0,1,0,,4,0,PERSENDIRIAN,0000-00-00 00:00:00,0000-00-00 00:00:00
