9000,KPN-13-2-2372,2,NULL,13,0,,BEM Sebatang,Jalan Beluru,,,0,555,,,,0000-00-00,,,0,0,0,0,2,5,,119,0,,0000-00-00 00:00:00,0000-00-00 00:00:00
9001,KPN-13-2-2373,2,NULL,13,0,,"Rh. Gindi, Saeh",P.O. Box 1289,,,0,555,,,,0000-00-00,,,0,0,0,0,2,5,,119,0,,0000-00-00 00:00:00,0000-00-00 00:00:00
9002,KPN-13-2-2374,2,NULL,13,0,,"Rh. Johnny, Suai Tengah",P.O. Box 1289,,,0,555,,,,0000-00-00,,,0,0,0,0,2,5,,119,0,,0000-00-00 00:00:00,0000-00-00 00:00:00
9003,KPN-13-2-2375,2,NULL,13,0,,"Siputi Bok, Bakong",P.O. Box 1289,,,0,555,,,,0000-00-00,,,0,0,0,0,2,5,,119,0,,0000-00-00 00:00:00,0000-00-00 00:00:00
9004,KPN-13-2-2376,2,NULL,13,0,,Subis 2 (Zon 4),P.O. Box 1289,,,0,555,,,,0000-00-00,,,0,0,0,0,2,5,,119,0,,0000-00-00 00:00:00,0000-00-00 00:00:00
9005,KPN-13-2-2377,2,NULL,13,0,,Taman Tunku (BM),P.O. Box 1289,,,0,555,,,,0000-00-00,,,0,0,0,0,2,5,,119,0,,0000-00-00 00:00:00,0000-00-00 00:00:00
9006,KPN-13-2-2378,2,NULL,13,0,,BEM Taman Tunku (Bahasa Iban),"Jalan Kuching, Lambir",,,0,555,,,willyfredmac@yahoo.com,0000-00-00,,,0,0,0,0,2,5,,119,0,,0000-00-00 00:00:00,0000-00-00 00:00:00
9007,KPN-13-2-2379,2,NULL,13,0,,Taman Tunku (Bahasa Kayan),"Industry Lot 1813, 1814 Lorong 9, Jalan Kuching, Taman Tunku",,,0,555,,,usatajang@gmail.com,0000-00-00,,,0,0,0,0,2,5,,119,0,,0000-00-00 00:00:00,0000-00-00 00:00:00
9008,KPN-13-2-2380,2,NULL,13,0,,"Rh. Jugan, Sg. Sebubok",Ulu Niah,,,0,555,,,,0000-00-00,,,0,0,0,0,2,5,,119,0,,0000-00-00 00:00:00,0000-00-00 00:00:00
9009,KPN-13-2-2381,2,NULL,13,0,,BEM Airport Road (BM & ENG),"Lot 3, Block 8, MCLD, P.O. BOX 1325",,,0,555,,,,0000-00-00,,,0,0,0,0,2,5,,119,0,,0000-00-00 00:00:00,0000-00-00 00:00:00
